DATE;SNB/CONCON/OUTLOOK FOR THE GENERAL ECONOMIC SITUATION;SNB/CONCON/OUTLOOK FOR PRICES;SNB/CONCON/JOB SECURITY;SNB/CONCON/OUTLOOK FOR UNEMPLOYMENT;SNB/CONCON/EXPECTED FINANCIAL POSITION;SNB/CONCON/CURRENT SAVINGS/DEBT POSITION;SNB/CONCON/LIKELIHOOD OF MAJOR PURCHASES;SNB/CONCON/EXPECTED SAVINGS/DEBT POSITION;SNB/CONCON/OLD CONSUMER CONFIDENCE INDEX;SNB/CONCON/NEW CONSUMER CONFIDENCE INDEX
30/06/2019;-3;48;-47;31;-5;39;-11;12;-5;-6
31/03/2019;-5;54;-37;32;-1;40;-7;21;-2;-4
31/12/2018;9;56;-44;38;-4;35;-11;9;-1;-6
30/09/2018;6;59;-45;35;-5;38;-8;6;-4;-7
30/06/2018;14;53;-46;28;0;40;-12;21;0;2
31/03/2018;32;44;-49;26;-2;38;-6;16;1;5
31/12/2017;14;56;-59;39;-6;42;-10;22;-2;-2
30/09/2017;16;45;-62;41;-4;47;-4;17;-2;-3
30/06/2017;5;38;-63;48;-3;43;-6;15;-7;-8
31/03/2017;14;42;-66;48;0;41;4;21;-6;-3
31/12/2016;-6;44;-80;58;-6;42;-2;17;-12;-13
30/09/2016;-19;32;-76;61;-2;37;0;20;-14;-15
30/06/2016;-17;22;-86;70;1;45;1;27;-12;-15
31/03/2016;-16;16;-82;68;1;46;3;28;-13;-14
31/12/2015;-16;36;-85;74;-4;46;-5;23;-15;-18
30/09/2015;-25;18;-76;65;-4;40;6;18;-17;-19
30/06/2015;-8;6;-70;51;5;45;15;31;-7;-6
31/03/2015;-12;29;-54;52;2;49;7;38;-1;-6
31/12/2014;-14;53;-57;51;0;40;-1;19;-5;-11
30/09/2014;5;55;-49;33;-2;46;8;28;-1;-1
30/06/2014;8;49;-47;30;1;44;1;25;0;1
31/03/2014;18;53;-57;40;4;47;8;25;3;2
31/12/2013;1;54;-54;45;0;41;-5;25;-1;-5
30/09/2013;-6;53;-69;54;-1;45;0;26;-6;-9
30/06/2013;3;34;-65;47;2;41;5;23;-5;-5
31/03/2013;0;36;-74;62;4;50;9;34;-2;-6
31/12/2012;-23;39;-71;67;-2;48;-1;25;-11;-17
30/09/2012;-20;32;-72;62;-3;40;-2;15;-13;-17
30/06/2012;-2;34;-64;49;0;41;1;20;-9;-8
31/03/2012;-29;25;-78;71;1;41;16;22;-18;-19
31/12/2011;-38;11;-72;73;-3;41;12;16;-18;-24
30/09/2011;-22;38;-54;54;-2;39;-2;9;-6;-17
30/06/2011;14;69;-23;16;6;24;-1;-9;5;-1
31/03/2011;15;40;-45;12;6;43;6;30;6;10
31/12/2010;19;51;-52;17;3;37;3;24;2;7
30/09/2010;33;35;-55;6;10;43;1;27;1;16
30/06/2010;44;52;-72;8;7;35;-2;15;-4;14
31/03/2010;24;37;-107;77;6;38;10;19;-22;-7
31/12/2009;18;41;-118;88;0;35;-3;13;-30;-14
30/09/2009;-33;26;-125;117;-9;37;0;2;-42;-39
30/06/2009;-64;7;-127;130;-6;36;-2;4;-38;-49
31/03/2009;-57;-7;-99;111;3;40;-2;14;-23;-38
31/12/2008;-61;75;-61;76;-9;37;-25;4;-27;-35
30/09/2008;-45;101;-21;34;-9;43;-23;20;-17;-17
30/06/2008;-19;80;-27;25;7;50;-5;37;2;0
31/03/2008;-9;85;-15;13;7;47;-6;32;14;4
31/12/2007;12;84;-14;12;12;46;-15;48;15;15
30/09/2007;22;58;-30;3;5;35;-17;9;15;8
30/06/2007;31;43;-27;-8;11;44;-14;13;20;16
31/03/2007;26;41;-39;;8;42;-7;;17;12
31/12/2006;19;55;-45;;5;40;-10;;13;7
30/09/2006;25;51;-47;;10;40;-15;;12;12
30/06/2006;19;44;-72;;7;41;-12;;7;8
31/03/2006;25;40;-88;;7;48;-11;;2;11
31/12/2005;-12;51;-100;;3;47;-20;;-15;-10
30/09/2005;-12;48;-105;;2;39;-18;;-15;-10
30/06/2005;2;30;-100;;5;43;-22;;-9;-2
31/03/2005;5;42;-100;;8;47;-19;;-10;1
31/12/2004;-4;68;-97;;4;45;-28;;-13;-5
30/09/2004;15;60;-91;;2;32;-28;;-12;3
30/06/2004;24;49;-97;;5;37;-14;;-13;9
31/03/2004;21;58;-110;;6;39;-20;;-22;8
31/12/2003;-4;67;-119;;-1;38;-22;;-28;-8
30/09/2003;-16;39;-124;;2;48;-20;;-35;-12
30/06/2003;-28;49;-118;;3;38;-26;;-36;-18
31/03/2003;-23;51;-114;;8;44;-22;;-25;-13
31/12/2002;-35;59;-112;;3;38;-31;;-39;-21
30/09/2002;-12;67;-75;;6;40;-22;;-18;-8
30/06/2002;5;61;-65;;8;47;-16;;-9;1
31/03/2002;-4;57;-76;;14;53;-14;;-11;0
31/12/2001;-60;68;-71;;3;46;-23;;-17;-34
30/09/2001;10;73;-2;;11;47;-14;;12;5
30/06/2001;12;68;1;;19;48;-10;;21;10
31/03/2001;29;71;20;;18;50;-15;;25;18
31/12/2000;31;76;16;;11;36;-18;;21;16
30/09/2000;45;68;5;;11;42;-7;;21;22
30/06/2000;39;55;-31;;14;49;-4;;19;21
31/03/2000;37;59;-37;;16;49;5;;18;22
31/12/1999;30;50;-36;;9;47;-3;;8;14
30/09/1999;15;39;-55;;11;45;-6;;4;8
30/06/1999;3;40;-67;;5;51;4;;-2;-2
31/03/1999;6;41;-62;;9;49;0;;2;2
31/12/1998;3;38;-62;;8;43;6;;2;1
30/09/1998;29;32;-70;;4;38;6;;3;11
30/06/1998;18;31;-102;;5;37;-2;;-4;6
31/03/1998;2;26;-122;;9;43;-11;;-12;1
31/12/1997;11;36;-91;;1;33;-13;;-13;1
30/09/1997;1;23;-96;;5;34;-10;;-22;-2
30/06/1997;-17;19;-134;;-2;32;-15;;-31;-15
31/03/1997;-36;18;-143;;-1;35;-11;;-35;-24
31/12/1996;-39;32;-145;;-10;29;-10;;-39;-30
30/09/1996;-54;37;-137;;-13;29;-17;;-41;-39
30/06/1996;-39;41;-129;;-12;30;-16;;-38;-30
31/03/1996;-28;49;-97;;-14;39;-9;;-31;-26
31/12/1995;-11;55;-88;;-7;36;-10;;-20;-14
30/09/1995;-7;57;-80;;-9;38;-10;;-18;-13
30/06/1995;4;63;-70;;-8;39;-16;;-13;-7
31/03/1995;3;123;-54;;-25;46;-23;;-20;-16
31/12/1994;17;97;-59;;-13;48;-1;;-14;-3
30/09/1994;22;62;-78;;-8;47;-4;;-16;2
30/06/1994;27;47;-94;;-6;41;-6;;-20;6
31/03/1994;8;51;-127;;-7;45;-8;;-31;-5
31/12/1993;-11;44;-140;;-8;37;-17;;-41;-15
30/09/1993;-38;57;-147;;-12;34;-27;;-49;-30
30/06/1993;-34;55;-147;;-10;34;-27;;-47;-27
31/03/1993;-62;75;-139;;-21;42;-25;;-48;-46
31/12/1992;-68;74;-149;;-19;42;-31;;-54;-49
30/09/1992;-56;98;-136;;-21;40;-32;;-52;-43
30/06/1992;-52;86;-130;;-15;31;-32;;-46;-39
31/03/1992;-71;104;-134;;-21;46;-29;;-50;-51
31/12/1991;-61;111;-113;;-19;37;-32;;-45;-45
30/09/1991;-56;104;-92;;-12;42;-24;;-31;-39
30/06/1991;-32;93;-64;;-8;36;-18;;-27;-25
31/03/1991;-73;125;-50;;-19;36;-29;;-28;-51
31/12/1990;-68;133;-11;;-18;29;-23;;-28;-48
30/09/1990;-15;102;26;;3;42;-8;;-2;-11
30/06/1990;-11;110;29;;-1;37;-15;;-1;-11
31/03/1990;-13;135;28;;1;47;-3;;1;-11
31/12/1989;11;110;41;;6;42;-2;;11;4
30/09/1989;-7;103;38;;4;41;-2;;6;-7
30/06/1989;3;104;34;;12;47;12;;18;2
31/03/1989;18;101;26;;19;53;19;;25;13
31/12/1988;3;86;-12;;15;49;5;;15;4
30/09/1988;3;86;-40;;14;45;4;;12;3
30/06/1988;-22;85;-61;;12;43;5;;5;-10
31/03/1988;-18;87;-33;;12;49;6;;6;-8
31/12/1987;-11;86;-5;;11;43;-3;;8;-5
30/09/1987;-6;82;10;;13;44;5;;12;-2
30/06/1987;-1;65;-9;;11;45;10;;11;0
31/03/1987;1;70;1;;13;51;15;;13;2
31/12/1986;5;77;13;;13;43;6;;15;4
30/09/1986;8;87;17;;8;36;2;;11;3
30/06/1986;16;90;22;;12;46;11;;18;9
31/03/1986;18;93;1;;20;51;8;;20;14
31/12/1985;7;89;2;;11;43;6;;10;4
30/09/1985;5;93;-18;;6;39;-3;;4;0
30/06/1985;6;101;-32;;5;46;0;;2;0
31/03/1985;3;96;-49;;8;48;4;;4;0
31/12/1984;-2;94;-39;;5;41;-8;;-1;-4
30/09/1984;4;91;-61;;8;43;-4;;-2;1
30/06/1984;-5;90;-74;;5;42;-6;;-8;-5
31/03/1984;4;86;-82;;5;50;-3;;-9;-1
31/12/1983;-10;86;-78;;1;41;-13;;-13;-10
30/09/1983;-15;102;-71;;-1;42;-5;;-18;-13
30/06/1983;-5;71;-80;;0;42;-6;;-16;-8
31/03/1983;-45;68;-120;;-2;36;-22;;-25;-29
31/12/1982;-52;92;-118;;-4;40;-17;;-29;-34
30/09/1982;-50;108;-88;;-9;43;-15;;-25;-34
30/06/1982;-32;87;-78;;0;43;-18;;-15;-21
31/03/1982;-44;92;-70;;0;41;-11;;-16;-27
31/12/1981;-49;111;-16;;-7;39;-15;;-18;-33
30/09/1981;-42;127;3;;-4;36;-7;;-11;-28
30/06/1981;-37;110;4;;-4;38;-5;;-12;-26
31/03/1981;-32;109;3;;2;45;4;;2;-20
31/12/1980;-30;101;10;;9;45;0;;6;-16
30/09/1980;-16;90;41;;12;46;-6;;13;-7
30/06/1980;-13;94;31;;6;49;2;;13;-9
31/03/1980;-19;92;25;;9;53;1;;10;-10
31/12/1979;-28;91;10;;4;49;4;;4;-17
30/09/1979;-21;85;5;;10;37;0;;3;-11
30/06/1979;7;79;-10;;10;44;15;;10;3
31/03/1979;-15;65;-57;;7;38;11;;3;-9
31/12/1978;-35;56;-75;;4;36;10;;-7;-20
30/09/1978;-4;47;10;;8;43;11;;11;-3
30/06/1978;6;60;-6;;3;38;13;;6;-1
31/03/1978;7;56;2;;7;38;13;;7;2
31/12/1977;8;69;17;;1;29;5;;7;-1
30/09/1977;18;68;13;;7;32;5;;10;7
30/06/1977;4;63;-24;;3;37;14;;1;-1
31/03/1977;-18;53;-69;;-8;39;-9;;-19;-18
31/12/1976;11;54;-25;;4;39;2;;-1;3
30/09/1976;32;64;-13;;5;32;7;;1;14
30/06/1976;13;41;-49;;5;36;-3;;-20;4
31/03/1976;-37;21;-107;;-8;38;-19;;-41;-27
31/12/1975;-42;34;-94;;-3;36;-19;;-35;-27
30/09/1975;-24;44;-87;;-7;35;-38;;-32;-21
30/06/1975;-39;51;-94;;1;45;-25;;-34;-24
31/03/1975;-52;109;-93;;-7;41;-37;;-25;-35
31/12/1974;-65;136;-69;;3;35;-11;;-23;-36
30/09/1974;-42;139;-34;;-3;43;2;;-20;-27
30/06/1974;-54;143;-24;;2;44;5;;-18;-31
31/03/1974;-36;142;-31;;9;39;-2;;-3;-18
31/12/1973;-37;151;6;;6;44;12;;-3;-21
30/09/1973;-16;121;-3;;10;47;19;;7;-8
30/06/1973;-19;130;-7;;16;47;18;;13;-7
31/03/1973;-16;122;14;;15;45;7;;13;-6
31/12/1972;-9;155;-4;;30;42;30;;17;6
